Rank| H1B Visa Sponsor| Number of LCA  *| Average Salary| Job Title
71|Usr Systems|25| $56,776|Computer Programmer
72|Superior Software And Technology Solutions|25| $54,669|Computer Programmer
73|American Information Technology|25| $51,140|Computer Programmer
74|Ar Solutions|24| $69,458|Computer Programmer
75|Momento Usa|24| $64,583|Computer Programmer
76|Emgenex|24| $63,200|Computer Programmer
77|Zillion Technologies|24| $61,584|Computer Programmer
78|I 5 Tech|24| $60,417|Computer Programmer
79|Sai Cornerstone|24| $47,867|Computer Programmer
80|Tata Consultancy Services|23| $94,317|Computer Programmer
81|Pns Technologies|23| $67,652|Computer Programmer
82|American It Solutions|23| $66,633|Computer Programmer
83|Advantage It|23| $61,405|Computer Programmer
84|Business Pointers|23| $60,739|Computer Programmer
85|Adeptech Systems|22| $71,555|Computer Programmer
86|Cyberbest Technology|22| $65,416|Computer Programmer
87|Argha Services|21| $61,143|Computer Programmer
88|Infocepts|20| $73,821|Computer Programmer
89|Legend Solutions|20| $68,350|Computer Programmer
90|Software Transformations|20| $66,550|Computer Programmer
91|Echelon It|20| $65,820|Computer Programmer
92|Idril Services|20| $60,771|Computer Programmer
93|Data Warehouse Labs|20| $60,000|Computer Programmer
94|Laksan Technologies|19| $67,337|Computer Programmer
95|Professional Software Group|19| $67,263|Computer Programmer
96|Smart Solutions|18| $90,111|Computer Programmer
97|Saicon Consultants|18| $70,417|Computer Programmer
98|Techsol|18| $65,071|Computer Programmer
99|Malvi Systems|18| $62,500|Computer Programmer
100|Sky Solutions|18| $61,889|Computer Programmer
101|Antra|18| $61,307|Computer Programmer
102|Devise Soft|18| $57,756|Computer Programmer
103|Omega Solutions|17| $69,507|Computer Programmer
104|First Tek|17| $63,239|Computer Programmer
105|Jp Consulting|17| $58,235|Computer Programmer
106|Hiracle|17| $55,296|Computer Programmer
107|Indotronix International|17| $46,616|Computer Programmer
108|Tata Elxsi|16| $81,205|Computer Programmer
109|Trn Systems|16| $81,087|Computer Programmer
110|Athena Technology|16| $66,063|Computer Programmer
111|Enterprise Consulting Services|16| $65,538|Computer Programmer
112|Bona Fide Management|16| $56,531|Computer Programmer
113|Systems Technology Group|15| $76,645|Computer Programmer
114|Launch It|15| $69,267|Computer Programmer
115|Trishulla|15| $67,467|Computer Programmer
116|Prabhav Services|15| $64,333|Computer Programmer
117|Ak Systems|15| $64,067|Computer Programmer
118|Vquest Technologies|15| $62,800|Computer Programmer
119|Primasoft|15| $60,000|Computer Programmer
120|Kapstone Technologies|14| $91,980|Computer Programmer
121|Z And A Infotek|14| $82,354|Computer Programmer
122|Dw Practice|14| $75,000|Computer Programmer
123|Zedventures|14| $72,143|Computer Programmer
124|Inspirix Technologies|14| $69,429|Computer Programmer
125|Gdn Infotech|14| $69,132|Computer Programmer
126|Magnus Technology Solutions|14| $62,643|Computer Programmer
127|Sumas|14| $62,543|Computer Programmer
128|Heights Global It Service|14| $62,039|Computer Programmer
129|Insyst|14| $61,000|Computer Programmer
130|Value Software Products|14| $60,857|Computer Programmer
131|Saras America|14| $60,614|Computer Programmer
132|Human Resource And Knowledge|14| $57,179|Computer Programmer
133|Techpillars|13| $81,385|Computer Programmer
134|Ispace|13| $78,192|Computer Programmer
135|Horizon Technologies|13| $74,692|Computer Programmer
136|Itvision|13| $71,308|Computer Programmer
137|Quantum Integrators Group|13| $69,846|Computer Programmer
138|Ajace|13| $68,295|Computer Programmer
139|Alliance Information Technology And Computer Software Solutions|13| $63,076|Computer Programmer
140|Pcb Apps|13| $61,154|Computer Programmer
141|Surya Systems|13| $60,943|Computer Programmer
142|Arvytech|13| $60,538|Computer Programmer
143|Trisync Technologies|13| $60,231|Computer Programmer
144|Tek Services|13| $60,009|Computer Programmer
145|Egrove Systems|13| $51,605|Computer Programmer
146|Agilis Systems LLC|13| $40,289|Computer Programmer
147|Millenium Software Consulting|12| $68,804|Computer Programmer
148|Expedient Consulting Services|12| $65,000|Computer Programmer
149|Numbers Only|12| $64,958|Computer Programmer
150|Astir It Solutions|12| $64,375|Computer Programmer
151|Ekin Solutions|12| $64,350|Computer Programmer
152|Professional Software Consulting Services(Pscs)|12| $64,000|Computer Programmer
153|Creative Information Technology|12| $60,962|Computer Programmer
154|Technovators|12| $60,583|Computer Programmer
155|Adalisoft|12| $60,333|Computer Programmer
156|International Technologies Pro|12| $60,000|Computer Programmer
157|Charter Global|12| $58,750|Computer Programmer
158|Accion Labs Us|11| $79,545|Computer Programmer
159|Global Edge Software|11| $74,588|Computer Programmer
160|Global Technical Software Services|11| $74,311|Computer Programmer
161|Echotech Software Solutions|11| $74,048|Computer Programmer
162|Espryt|11| $73,484|Computer Programmer
163|Born Group Fka Group Fmg|11| $70,545|Computer Programmer
164|Adaequare|11| $68,659|Computer Programmer
165|Vincesolutions|11| $66,682|Computer Programmer
166|Ezenius|11| $62,636|Computer Programmer
167|Immidi Infotech|11| $61,004|Computer Programmer
168|Master Informatix Systems|11| $59,992|Computer Programmer
169|Element Technologies|11| $59,490|Computer Programmer
170|Rithwik Infotek,|11| $51,800|Computer Programmer
171|Encore Software Services|10| $91,400|Computer Programmer
172|Responsive Technologies|10| $71,750|Computer Programmer
173|I-Link Solutions|10| $66,600|Computer Programmer
174|Wise Men Consultants|10| $65,200|Computer Programmer
175|Valsoft Services|10| $65,000|Computer Programmer
176|3s Business|10| $64,400|Computer Programmer
177|Techizee|10| $62,768|Computer Programmer
178|Jsm Consulting|10| $62,583|Computer Programmer
179|V Tek Solutions|10| $61,750|Computer Programmer
180|Apex Technology Systems|10| $60,928|Computer Programmer
181|United Software|10| $59,112|Computer Programmer
182|Scrumlink|9| $81,111|Computer Programmer
183|Innominds Software|9| $72,778|Computer Programmer
184|Idea Helix|9| $71,111|Computer Programmer
185|Sharpedge Solutions|9| $70,778|Computer Programmer
186|Iontech Consulting|9| $66,889|Computer Programmer
187|Tcg Digital Solutions|9| $66,239|Computer Programmer
188|Intellipro Group|9| $66,222|Computer Programmer
189|Us Software Professionals|9| $64,507|Computer Programmer
190|Infopro|9| $61,111|Computer Programmer
191|Vis Software Solutions|9| $60,000|Computer Programmer
191|The Principal Consulting|9| $60,000|Computer Programmer
193|Agiletal|9| $59,262|Computer Programmer
194|Saibersys|9| $54,511|Computer Programmer
195|Asius|9| $53,109|Computer Programmer
196|Cyber Group|8| $88,375|Computer Programmer
197|Global American Staffing|8| $86,346|Computer Programmer
198|Brillersys|8| $77,320|Computer Programmer
199|Swift Solutions|8| $76,625|Computer Programmer
200|Derex Technologies|8| $74,638|Computer Programmer
201|Agranee Tech|8| $71,387|Computer Programmer
202|Tekvista|8| $71,250|Computer Programmer
203|Sonata Software North America|8| $67,370|Computer Programmer
204|Savi Technologies|8| $66,875|Computer Programmer
205|Altomni Corp|8| $66,560|Computer Programmer
206|Tcg Digital Software|8| $66,394|Computer Programmer
207|Divihn Integration|8| $66,304|Computer Programmer
208|Sage Group Consulting|8| $65,020|Computer Programmer
209|Novateur Technologies|8| $65,000|Computer Programmer
210|Delta System & Software|8| $63,000|Computer Programmer
211|R & R Systems|8| $62,304|Computer Programmer
212|Systemart|8| $61,000|Computer Programmer
213|Zaspar Technologies|8| $60,875|Computer Programmer
214|Mindsor|8| $60,549|Computer Programmer
215|International Computerware|8| $60,313|Computer Programmer
216|Trendmark|8| $59,608|Computer Programmer
217|Protech It Resources|8| $59,288|Computer Programmer
218|Findskills|8| $52,253|Computer Programmer
219|Vtekh|8| $49,314|Computer Programmer
220|Cetetek Technology|8| $47,403|Computer Programmer
221|VIRTUAL NETWORX|8| $45,011|Computer Programmer
222|Schoolcity|7| $83,576|Computer Programmer
223|Mark Infotech|7| $82,491|Computer Programmer
224|Sysfore Technologies|7| $76,714|Computer Programmer
225|Larsen & Toubro Infotech|7| $75,749|Computer Programmer
1|Tech Mahindra (Americas)|226| $75,878|Business Analyst
2|Larsen & Toubro Infotech|197| $71,703|Business Analyst
3|Capgemini|188| $75,693|Business Analyst
4|Accenture|173| $78,410|Business Analyst
5|Deloitte Consulting|131| $76,446|Business Analyst
6|IBM|126| $79,623|Business Analyst
7|Compunnel Software Group|96| $61,030|Business Analyst
8|Sdlc Management|82| $68,149|Business Analyst
9|Ipolarity|79| $68,241|Business Analyst
10|Intone Networks|77| $67,529|Business Analyst
11|Canvas Infotech|74| $60,482|Business Analyst
12|Asta Crs|68| $69,284|Business Analyst
13|Vsquare Infotech|68| $60,338|Business Analyst
14|Akvarr|64| $62,552|Business Analyst
15|Igate Technologies|58| $72,340|Business Analyst
16|Lucent It Solutions|54| $61,000|Business Analyst
17|Concepts Information Technology|53| $65,304|Business Analyst
18|American Technology Consulting|51| $80,118|Business Analyst
19|Rsr Unlimited|49| $65,816|Business Analyst
20|Northstar Group|45| $74,051|Business Analyst
21|Primesoft|45| $71,242|Business Analyst
22|First Tek|45| $68,392|Business Analyst
23|Precision Technologies|41| $61,541|Business Analyst
24|Visionet Systems|40| $66,466|Business Analyst
25|Hitachi Consulting|37| $72,185|Business Analyst
26|Synchronisys|37| $65,379|Business Analyst
27|Consultadd|36| $76,549|Business Analyst
28|Populus Group|35| $95,837|Business Analyst
29|Jpmorgan Chase|35| $93,366|Business Analyst
30|Pyramid Technology Solutions|34| $62,105|Business Analyst
31|Aplomb Technologies|33| $67,889|Business Analyst
32|Business Intelligence Systems|33| $66,623|Business Analyst
33|Ust Global|31| $76,116|Business Analyst
34|Anjaneyap|31| $72,542|Business Analyst
35|Flex Consulting Group|31| $67,712|Business Analyst
36|Global Systems|31| $64,232|Business Analyst
37|Cgi Technologies And Solutions|30| $90,132|Business Analyst
38|Kforce|30| $77,317|Business Analyst
39|Alpha Clinical Systems|30| $69,203|Business Analyst
40|Tavant Technologies|29| $80,418|Business Analyst
41|Slk America|29| $70,886|Business Analyst
42|Techligent Systems|29| $66,345|Business Analyst
43|Oncorre|29| $63,658|Business Analyst
44|Inovalon|28| $76,030|Business Analyst
45|Gss Infotech Ct|28| $68,210|Business Analyst
46|Adbakx|28| $66,876|Business Analyst
47|Vsln International|27| $78,000|Business Analyst
48|V-Soft Consulting Group|27| $76,519|Business Analyst
49|Spln International|27| $60,505|Business Analyst
50|Palvai Global Services|26| $73,906|Business Analyst
51|Xceltech|26| $65,920|Business Analyst
52|Niche Software Solutions|26| $65,291|Business Analyst
53|Headstrong Services|25| $90,069|Business Analyst
54|Bhrigus|24| $60,417|Business Analyst
55|Nexus It|23| $65,000|Business Analyst
56|Applab Systems|23| $60,087|Business Analyst
57|Euclid Technologies|22| $96,260|Business Analyst
58|Slri Solutions|22| $61,500|Business Analyst
59|Involgixs|22| $60,000|Business Analyst
60|Microexcel|21| $71,941|Business Analyst
61|Astir It Solutions|21| $68,671|Business Analyst
62|Abal Technologies|21| $66,846|Business Analyst
63|Radus Tek Services,|21| $65,561|Business Analyst
64|Grapnel Tech Services|21| $64,857|Business Analyst
65|Google|20| $111,583|Business Analyst
66|Nagarro|20| $77,250|Business Analyst
67|Proswift  Consulting|20| $65,790|Business Analyst
68|Marvelltech|20| $60,000|Business Analyst
68|Santec Resources|20| $60,000|Business Analyst
68|Svv Infotech|20| $60,000|Business Analyst
71|Bdsn International|20| $58,000|Business Analyst
72|Smart Works|19| $87,230|Business Analyst
73|Ciber|19| $82,583|Business Analyst
74|Incept Data Solutions|19| $65,263|Business Analyst
75|Shinewell Technologies|19| $60,974|Business Analyst
76|Srnl International|19| $60,000|Business Analyst
77|System Soft Technologies|18| $81,305|Business Analyst
78|Katalyst Technologies|18| $75,000|Business Analyst
79|Vlink, |18| $74,173|Business Analyst
80|Lancesoft|18| $69,167|Business Analyst
81|Globaltek Systems|18| $62,139|Business Analyst
82|Genpact|18| $60,517|Business Analyst
83|Adroit Associates|18| $60,039|Business Analyst
84|Randstad Technologies|17| $94,528|Business Analyst
85|Vedicsoft Solutions|17| $62,312|Business Analyst
86|Iblesoft|17| $60,000|Business Analyst
87|Itech Us|16| $83,027|Business Analyst
88|Coolsoft|16| $69,388|Business Analyst
89|Genius Minds|16| $65,938|Business Analyst
90|Us It Solutions|16| $59,827|Business Analyst
91|State Street Bank And Trust Company|15| $86,731|Business Analyst
92|Agama Solutions|15| $78,390|Business Analyst
93|Vigna Solutions|15| $73,203|Business Analyst
94|Pamten|15| $71,867|Business Analyst
95|Enterprise Business Solutions|15| $65,312|Business Analyst
96|Global Data Mart|15| $62,400|Business Analyst
97|Erp Analysts|15| $61,662|Business Analyst
98|Mitchell/Martin|14| $134,232|Business Analyst
99|Cisco Systems|14| $109,171|Business Analyst
100|Mastech, A Mastech Holdings Company|14| $78,225|Business Analyst
101|Ramps International|14| $76,143|Business Analyst
102|Sbm Group|14| $70,432|Business Analyst
103|Y-Axis|14| $67,447|Business Analyst
104|Diligent Group|14| $66,571|Business Analyst
105|Techpillars|14| $58,211|Business Analyst
106|Opensoft|14| $57,857|Business Analyst
107|Tekwissen|13| $117,531|Business Analyst
108|Dotcom Team|13| $83,269|Business Analyst
109|Csi Solutions|13| $71,077|Business Analyst
110|Excelto Solutions|13| $70,671|Business Analyst
111|It Vertex|13| $70,231|Business Analyst
112|Logic Planet|13| $68,880|Business Analyst
113|Essani International|13| $67,189|Business Analyst
114|Saxon Global|13| $66,324|Business Analyst
115|Pcb Apps|13| $65,432|Business Analyst
116|Infospan|13| $64,800|Business Analyst
117|Computek Soulutions|13| $62,846|Business Analyst
118|Wise Equation Solutions|13| $62,038|Business Analyst
119|Lucid Technologies|13| $62,005|Business Analyst
120|Saturn Infotech|13| $61,308|Business Analyst
121|Logical Paradigm|13| $55,576|Business Analyst
122|Computer Global Solutions|12| $90,622|Business Analyst
123|Srs Consulting|12| $89,083|Business Analyst
124|Concert Tech|12| $75,618|Business Analyst
125|Ericsson|12| $72,192|Business Analyst
126|The Advisory Board Company|12| $71,584|Business Analyst
127|Dextro Software Systems|12| $68,821|Business Analyst
128|Apex Technology Systems|12| $66,506|Business Analyst
129|Fusion Plus Solutions|12| $66,500|Business Analyst
130|Silverxis|12| $63,333|Business Analyst
131|Virtuoso Technologies|12| $61,927|Business Analyst
132|Accenz|12| $60,300|Business Analyst
133|Damian Consulting|12| $60,289|Business Analyst
134|Protocol Info Tech|12| $59,616|Business Analyst
135|Talentedge|12| $59,583|Business Analyst
136|Platys Group|12| $58,183|Business Analyst
137|Armstrong Technologies|12| $57,133|Business Analyst
138|A.T. Kearney|11| $70,682|Business Analyst
139|Makeurcareer|11| $67,455|Business Analyst
140|Alfa Services Usa|11| $66,237|Business Analyst
141|Caliber Business Systems|11| $63,591|Business Analyst
142|Iqlogg|11| $60,000|Business Analyst
142|Atri Softech|11| $60,000|Business Analyst
144|Infoshare Systems|11| $56,947|Business Analyst
145|Yash & Lujan Consulting|11| $53,585|Business Analyst
146|Mindtree|10| $76,549|Business Analyst
147|Cyberthink|10| $73,350|Business Analyst
148|Mirage Software Dba: Bourntec Solutions|10| $72,500|Business Analyst
149|Real World Technologies|10| $72,037|Business Analyst
150|Cloudnetsource|10| $72,000|Business Analyst
151|Stellium|10| $70,000|Business Analyst
152|Pav It Global|10| $68,850|Business Analyst
153|E-Base Technologies|10| $67,906|Business Analyst
154|Imedglobal|10| $65,924|Business Analyst
155|Software Catalysts|10| $64,850|Business Analyst
156|Polaris Consulting And Services|10| $63,223|Business Analyst
157|Ab Star Group|10| $62,781|Business Analyst
158|Cyma Systems|10| $62,460|Business Analyst
159|Renowned|10| $62,000|Business Analyst
160|Ellianse|10| $61,940|Business Analyst
161|Sourceinfotech|10| $60,900|Business Analyst
162|Whiz It Solutions|10| $60,662|Business Analyst
163|Technocraft Solutions|10| $60,552|Business Analyst
164|Smart It Frame|10| $60,440|Business Analyst
165|Maxima Consulting|10| $60,000|Business Analyst
166|Metanoia Solutions|10| $57,554|Business Analyst
167|Krypto It Solutions|10| $53,000|Business Analyst
168|Orion Systems Integrators|9| $89,252|Business Analyst
169|Hexaware Technologies|9| $88,341|Business Analyst
170|Everest Consulting Group|9| $77,889|Business Analyst
171|Vastika|9| $77,798|Business Analyst
172|Siri Infosolutions|9| $76,333|Business Analyst
173|Sriven Systems|9| $72,778|Business Analyst
174|Epitec|9| $72,091|Business Analyst
175|Opus Consulting Solutions|9| $71,724|Business Analyst
176|Niit Technologies|9| $69,834|Business Analyst
177|Siliconhire|9| $69,101|Business Analyst
178|Hexacorp|9| $68,833|Business Analyst
179|Ramp Technology Group|9| $68,667|Business Analyst
180|Sunmerge Systems|9| $65,778|Business Analyst
181|Info Way Solutions|9| $64,985|Business Analyst
182|Cubic Technologies|9| $64,596|Business Analyst
183|Mintex Tech|9| $63,614|Business Analyst
184|American Tech Vision Solutions|9| $62,667|Business Analyst
185|International Software Systems|9| $61,395|Business Analyst
186|360 It Professionals|9| $60,521|Business Analyst
187|Ohm Tech|9| $58,556|Business Analyst
188|Tru Solution Systems|9| $55,004|Business Analyst
189|Osi Consulting|8| $103,750|Business Analyst
190|Sagitec Solutions|8| $92,563|Business Analyst
191|3edgeusagroup|8| $80,500|Business Analyst
192|Zs Associates|8| $79,073|Business Analyst
193|Marlabs|8| $77,350|Business Analyst
194|Ana-Data Consulting|8| $77,126|Business Analyst
195|Satin Solutions|8| $72,000|Business Analyst
196|Standav|8| $70,416|Business Analyst
197|Adroix|8| $70,375|Business Analyst
198|Corp2corp|8| $70,349|Business Analyst
199|Masterex Technologies|8| $66,055|Business Analyst
200|Datalysys|8| $65,993|Business Analyst
201|Yana Software|8| $65,000|Business Analyst
201|Optimum Technology|8| $65,000|Business Analyst
203|Texperts|8| $64,480|Business Analyst
204|Genesis Techsystems|8| $64,125|Business Analyst
205|C-Vision|8| $63,174|Business Analyst
206|Altomni Corp|8| $62,400|Business Analyst
207|Tekenergy|8| $62,375|Business Analyst
208|Tenazx|8| $61,875|Business Analyst
209|Oberon It|8| $61,839|Business Analyst
210|Keymouz Technologies|8| $61,500|Business Analyst
211|Tek Signature|8| $60,625|Business Analyst
212|Akt|8| $60,348|Business Analyst
213|Elite Solutions|8| $60,000|Business Analyst
213|Tech Matrix|8| $60,000|Business Analyst
213|Health Information Management|8| $60,000|Business Analyst
216|Ecom Consulting|8| $59,376|Business Analyst
217|Emaestro Technologies|8| $57,125|Business Analyst
218|Ascii Global|8| $54,600|Business Analyst
219|Idealogix|8| $53,082|Business Analyst
220|Slalom|7| $111,714|Business Analyst
221|Professional Access|7| $108,429|Business Analyst
222|Sapiens Na Insurance Solutions|7| $99,143|Business Analyst
223|Netcracker Technology|7| $94,572|Business Analyst
224|Circular Edge|7| $90,103|Business Analyst
225|Integrated Resources|7| $90,011|Business Analyst
1|Ntt Data|353| $92,830|Computer Systems Analyst
2|Igate Technologies|249| $73,014|Computer Systems Analyst
3|Tech Mahindra (Americas)|223| $77,241|Computer Systems Analyst
4|Avani Technology Solutions|138| $62,168|Computer Systems Analyst
5|Lorshi Systems|105| $60,110|Computer Systems Analyst
6|Ved Software Services|94| $74,733|Computer Systems Analyst
7|Geo Logic Systems|92| $70,815|Computer Systems Analyst
8|Softlabz|92| $60,027|Computer Systems Analyst
9|Openwave Computing|85| $63,175|Computer Systems Analyst
10|Prosoft Technologies|85| $60,235|Computer Systems Analyst
11|Platinum Empire Group|81| $60,209|Computer Systems Analyst
12|Softpath Technologies|73| $65,978|Computer Systems Analyst
13|Silicon Staff It Services|71| $62,100|Computer Systems Analyst
14|Kelly Maxson [duns#079237324]|69| $64,668|Computer Systems Analyst
15|Zensar Technologies|66| $92,368|Computer Systems Analyst
16|Openbox Solutions|65| $69,498|Computer Systems Analyst
17|Unify Solutions|65| $69,231|Computer Systems Analyst
18|S4 Global Technologies|60| $60,898|Computer Systems Analyst
19|Horizon Technologies|56| $86,411|Computer Systems Analyst
20|Blue Star Infotech America|52| $71,779|Computer Systems Analyst
21|Cogent Integrated Business Solutions|51| $60,256|Computer Systems Analyst
22|Genuineit|47| $62,775|Computer Systems Analyst
23|Karwell Technologiies|46| $69,826|Computer Systems Analyst
24|Btree Solutions|45| $64,467|Computer Systems Analyst
25|Infosytech Solutions|45| $62,988|Computer Systems Analyst
26|Xoriant Corporation|43| $86,221|Computer Systems Analyst
27|Pvr America|42| $62,841|Computer Systems Analyst
28|Criticalriver|41| $69,566|Computer Systems Analyst
29|E-Data Experts|41| $67,244|Computer Systems Analyst
30|Srs Consulting|40| $87,625|Computer Systems Analyst
31|Nic Info Tek|40| $62,797|Computer Systems Analyst
32|Client Software Services|39| $60,333|Computer Systems Analyst
33|Interface Systems|39| $60,000|Computer Systems Analyst
34|Bristlecone|38| $107,338|Computer Systems Analyst
35|Computek Soulutions|38| $82,763|Computer Systems Analyst
36|Excel. Est|38| $61,088|Computer Systems Analyst
37|Fidelis Software Solutions|37| $62,135|Computer Systems Analyst
38|Iplanner|36| $60,641|Computer Systems Analyst
39|Emergtech Business Solutions|35| $66,069|Computer Systems Analyst
40|Acwiron Global Solutions|35| $65,771|Computer Systems Analyst
41|Igt Solutions|31| $71,761|Computer Systems Analyst
42|Eresources Consultants|31| $63,191|Computer Systems Analyst
43|V-Soft Consulting Group|30| $101,883|Computer Systems Analyst
44|Dynpro|30| $87,576|Computer Systems Analyst
45|Systems Technology Group|29| $85,499|Computer Systems Analyst
46|Tanisha Systems|29| $73,293|Computer Systems Analyst
47|Grenza|27| $62,566|Computer Systems Analyst
48|Bell Systems|27| $61,909|Computer Systems Analyst
49|Cyberbrains|27| $60,519|Computer Systems Analyst
50|Epromptus|26| $66,242|Computer Systems Analyst
51|Sterling Software|25| $63,368|Computer Systems Analyst
52|P2p Softtek|25| $63,367|Computer Systems Analyst
53|Heights Global It Service|25| $62,122|Computer Systems Analyst
54|Webject Systems|24| $83,305|Computer Systems Analyst
55|Globalpoint|24| $72,900|Computer Systems Analyst
56|Intriv|24| $71,667|Computer Systems Analyst
57|Edvenswa Tech|24| $68,875|Computer Systems Analyst
58|Trisync Technologies|24| $66,625|Computer Systems Analyst
59|Codesource 360|23| $64,522|Computer Systems Analyst
60|Zume It|23| $62,373|Computer Systems Analyst
61|Ebs-Minds It|23| $59,497|Computer Systems Analyst
62|Spruce Technology|22| $84,960|Computer Systems Analyst
63|Synergy Global Technologies|22| $78,068|Computer Systems Analyst
64|Adaequare|22| $70,077|Computer Systems Analyst
65|Pns Technologies|22| $68,000|Computer Systems Analyst
66|Gss Infotech Ct|22| $67,781|Computer Systems Analyst
67|Larsen & Toubro Infotech|21| $75,763|Computer Systems Analyst
68|Software Solutions Group|21| $63,571|Computer Systems Analyst
69|Mansai|21| $60,523|Computer Systems Analyst
70|Sky Solutions|20| $68,000|Computer Systems Analyst
71|Kelly Maxson|20| $63,330|Computer Systems Analyst
72|Captevo|20| $62,458|Computer Systems Analyst
73|Sunrise Infotek|20| $61,427|Computer Systems Analyst
74|Advansoft International|19| $76,800|Computer Systems Analyst
75|Sunfix Technologies|19| $70,559|Computer Systems Analyst
76|Virinchi Technologies|19| $69,184|Computer Systems Analyst
77|Browse Info Solutions|18| $65,324|Computer Systems Analyst
78|Yashraj Technologies|18| $63,722|Computer Systems Analyst
79|Eteam Solutions|18| $62,174|Computer Systems Analyst
80|Maxpro|17| $63,588|Computer Systems Analyst
81|Heights Global It Service|17| $62,566|Computer Systems Analyst
82|Sgs Technologie|17| $61,477|Computer Systems Analyst
83|Rover Resources|16| $80,719|Computer Systems Analyst
84|Otm Labs|16| $70,868|Computer Systems Analyst
85|Saicon Consultants|16| $67,261|Computer Systems Analyst
86|Charter Global|16| $64,000|Computer Systems Analyst
87|Prelude Systems|16| $61,016|Computer Systems Analyst
88|Addon Technologies|15| $96,433|Computer Systems Analyst
89|Deebecon|15| $81,851|Computer Systems Analyst
90|A1 Kaiser|15| $74,333|Computer Systems Analyst
91|Ez2 Technologies|15| $73,522|Computer Systems Analyst
92|Eminence Consulting|15| $69,000|Computer Systems Analyst
93|Adroix|15| $67,133|Computer Systems Analyst
94|Itconsultingservices|15| $66,067|Computer Systems Analyst
95|Stiaos Technologies|15| $62,566|Computer Systems Analyst
96|Unicorn Technologies|15| $61,333|Computer Systems Analyst
97|Ameritech Global|15| $60,000|Computer Systems Analyst
98|Hallmark Global Technologies|14| $85,214|Computer Systems Analyst
99|Ajace|14| $74,696|Computer Systems Analyst
100|Synergy Global Systems|14| $65,000|Computer Systems Analyst
101|Suntec Business Solutions Private|14| $63,172|Computer Systems Analyst
102|Accenture|13| $94,903|Computer Systems Analyst
103|Iit Jobs|13| $68,196|Computer Systems Analyst
104|Dextro Software Systems|13| $67,978|Computer Systems Analyst
105|American Infotech Solutions|13| $66,769|Computer Systems Analyst
106|Geonine|13| $65,680|Computer Systems Analyst
107|Axis Technology Solutions Inc|13| $63,000|Computer Systems Analyst
108|Worldwide Distribution Systems Usa|13| $60,766|Computer Systems Analyst
109|Apple|12| $105,233|Computer Systems Analyst
110|Zedventures|12| $78,667|Computer Systems Analyst
111|The Principal Consulting|12| $75,259|Computer Systems Analyst
112|Global Technical Software Services|12| $72,431|Computer Systems Analyst
113|Eximius Systems|12| $62,833|Computer Systems Analyst
114|Virtuoso Technologies|12| $62,140|Computer Systems Analyst
115|Amitech Solutions|11| $73,033|Computer Systems Analyst
116|Technology Consultants|11| $72,611|Computer Systems Analyst
117|Logicque|11| $69,487|Computer Systems Analyst
118|Corporate Computer Services|11| $67,280|Computer Systems Analyst
119|Ondemand Agility Solutions|11| $64,846|Computer Systems Analyst
120|Xtglobal|11| $64,818|Computer Systems Analyst
121|Bytefield|11| $64,000|Computer Systems Analyst
122|Lilax Technologies|11| $61,909|Computer Systems Analyst
123|Agal Solutions|11| $60,000|Computer Systems Analyst
124|Expicient|10| $81,700|Computer Systems Analyst
125|Endue|10| $77,127|Computer Systems Analyst
126|Meridiansoft|10| $74,700|Computer Systems Analyst
127|Techmagix|10| $72,100|Computer Systems Analyst
128|Dynamic Access Systems|10| $70,000|Computer Systems Analyst
129|Anid Infosoft|10| $68,400|Computer Systems Analyst
130|Vied Technologies|10| $66,399|Computer Systems Analyst
131|Virtual Matrix|10| $64,400|Computer Systems Analyst
132|Valsoft Services|10| $62,500|Computer Systems Analyst
133|Resourznet Solutions|10| $60,300|Computer Systems Analyst
134|Softpros|10| $59,455|Computer Systems Analyst
135|Softlabs Na|9| $81,672|Computer Systems Analyst
136|Technosoft|9| $81,222|Computer Systems Analyst
137|Etq Management Consultants|9| $79,236|Computer Systems Analyst
138|Rapid Value Solutions|9| $75,167|Computer Systems Analyst
139|Hermitage Infotech|9| $73,978|Computer Systems Analyst
140|Itprofound|9| $73,849|Computer Systems Analyst
141|Waferwire|9| $72,000|Computer Systems Analyst
142|Hexaware Technologies|9| $71,827|Computer Systems Analyst
143|Quantum Infotech|9| $69,841|Computer Systems Analyst
144|Technozant|9| $68,344|Computer Systems Analyst
145|Techorbit|9| $66,222|Computer Systems Analyst
146|Pns Software|9| $65,129|Computer Systems Analyst
147|Sena Info Technologies|9| $64,686|Computer Systems Analyst
148|Tek And Company|9| $64,000|Computer Systems Analyst
149|E Computer Technologies|9| $63,889|Computer Systems Analyst
150|Ezenius|9| $62,400|Computer Systems Analyst
151|Advanced Technology Group Usa|8| $82,485|Computer Systems Analyst
152|Akraya|8| $78,027|Computer Systems Analyst
153|Rites|8| $75,920|Computer Systems Analyst
154|Ispace|8| $74,625|Computer Systems Analyst
155|Primus Global Services|8| $72,100|Computer Systems Analyst
156|Gowork Solutions|8| $71,875|Computer Systems Analyst
157|Atosha|8| $71,370|Computer Systems Analyst
158|Supremesoft|8| $71,200|Computer Systems Analyst
159|Infisystems|8| $70,375|Computer Systems Analyst
160|P3 Geeks|8| $67,500|Computer Systems Analyst
161|Jiva Infotech|8| $67,288|Computer Systems Analyst
162|Sierra Consulting|8| $65,578|Computer Systems Analyst
163|Allied It Consultancy|8| $65,000|Computer Systems Analyst
